length	num_GC	number_of_fragments	GC_content	number_of_positions	GC_bias	smoothed_GC_bias
151	40	83	0.26490066225165565	53843446	0.6116130556069154	0.5563624829464392
151	41	100	0.271523178807947	61835278	0.6416455467703592	0.5891067456867656
151	42	95	0.2781456953642384	69850216	0.539619150553619	0.6167953273898651
151	43	150	0.2847682119205298	77929424	0.7636973698536608	0.6551847229164834
151	44	156	0.2913907284768212	85726790	0.7220038915341537	0.7137520015596216
151	45	184	0.2980132450331126	93241142	0.7829639045185997	0.7530399530124413
151	46	214	0.304635761589404	100336565	0.8462253798572369	0.7874347208025885
151	47	246	0.31125827814569534	106928509	0.9127946755017188	0.8273503699739106
151	48	259	0.31788079470198677	113067374	0.9088536598859945	0.8692070475903781
151	49	273	0.32450331125827814	118488458	0.91415134274327	0.9104940985069556
151	50	317	0.33112582781456956	123144378	1.021353719579165	0.9520033051848992
151	51	329	0.33774834437086093	127213407	1.0261114082653533	1.0063328527719058
151	52	346	0.3443708609271523	130436573	1.0524663541761772	1.054578069813328
151	53	407	0.3509933774834437	132837344	1.215642087825613	1.101700211744162
151	54	393	0.3576158940397351	134369764	1.160439486182979	1.1311970583859694
151	55	416	0.36423841059602646	135049824	1.2221677235947364	1.1880113447899188
151	56	413	0.3708609271523179	134786793	1.215721825558158	1.2475069297699952
151	57	438	0.37748344370860926	133506022	1.3016815731172888	1.3056899109077849
151	58	470	0.3841059602649007	131479733	1.4183079804507488	1.351346801999473
151	59	468	0.39072847682119205	128909762	1.4404279791176213	1.4177069920588334
151	60	492	0.3973509933774834	125793506	1.551809418119527	1.4476103014172574
151	61	460	0.40397350993377484	122383966	1.4912992891996404	1.5029482541308514
151	62	485	0.4105960264900662	118897324	1.6184569822255608	1.5478190152131956
151	63	498	0.41721854304635764	115362537	1.7127581651120907	1.5771764664810246
151	64	453	0.423841059602649	111858128	1.6068012362221227	1.617454557652599
151	65	471	0.4304635761589404	108500831	1.7223418121936203	1.6591139687322656
151	66	442	0.4370860927152318	105303924	1.665364169791732	1.6951741707440753
151	67	441	0.44370860927152317	102141513	1.713041186891872	1.7142938796879508
151	68	462	0.4503311258278146	99244525	1.8470001052498675	1.7538775035995822
151	69	420	0.45695364238410596	96575994	1.7254866587283593	1.7797779080786702
151	70	415	0.46357615894039733	94277629	1.7465094785352497	1.7894255301190864
151	71	432	0.47019867549668876	92293136	1.8571451390693987	1.7961500694295962
151	72	408	0.4768211920529801	90763983	1.7835205569260795	1.7984771451921797
151	73	426	0.48344370860927155	89550615	1.8874372783051296	1.803379071556732
151	74	381	0.4900662251655629	88597809	1.7062139787593087	1.8117896375150937
151	75	376	0.4966887417218543	87659934	1.7018379647097035	1.8117896375150937
